111,629254.562,4849606.5,,
112,625241.895,4847922.113,,
113,632675,4849871,,
114,627526.5,4847651.5,,
115,633496.245,4847881.079,,
116,631535.936,4847282.749,,
121,628261.812,4844955.5,,
122,630091.688,4844954,,
123,633104.622,4844755.216,,
125,632958.45,4841971.252,,
131,628665.625,4842478,,
132,626539.311,4841703.887,,
133,622244.5,4840261,,
134,628901.256,4840642.932,,
135,627576.438,4839857.5,,
141,621409.188,4846709,,
142,619595.812,4844405,,
143,624007.938,4845146.5,,
145,624002.812,4843343.5,,
146,620054.25,4841956.5,,
211,641300.075,4853574.63,,
212,645764.935,4851606.134,,
213,642709,4850414,,
214,647686.312,4850441,,
215,649046.25,4848570,,
222,638197.445,4842019.56,,
223,642316.438,4842510,,
224,635633.938,4839170.5,,
225,639459.956,4839264.504,,
226,637089.386,4837704.345,,
227,636648.375,4836289.5,,
231,642678.312,4847022,,
232,639552.125,4845858,,
233,635686.938,4844606,,
234,645606.375,4846711,,
235,635729.125,4842398,,
241,634749.062,4852370.5,,
242,638537.125,4851616,,
243,639750.062,4849682.5,,
244,636876.812,4848822,,
245,637524.288,4846723.183,,
311,629474,4838022.5,,
312,629821.438,4836437.5,,
313,630927.875,4836543,,
314,630172.125,4835471,,
315,628633.188,4834788,,
321,631739.25,4840634,,
322,633610,4838678,,
323,634205,4837431.5,,
324,633570.125,4836073.5,,
325,631818.25,4835138.5,,
326,635025.188,4835422.5,,
331,628225.75,4833717.5,,
332,629856.188,4833825,,
333,631741.875,4834151.5,,
334,629938.741,4832672.722,,
335,632600.75,4831690.5,,
341,625584.625,4838884,,
342,625042.625,4837193,,
343,626445.188,4837353,,
344,628033.938,4836538,,
345,625878.938,4835910,,
346,627310.907,4832179.37,,
411,616990.25,4845405,,
412,611273.5,4843477,,
413,613721.562,4843825,,
415,615177.812,4841340.5,,
421,622157.688,4837701,,
422,621659.188,4835492.5,,
423,623776,4835617,,
424,622593,4834825.5,,
425,622722.938,4833689,,
426,625925.812,4833402,,
431,620595.562,4833435.5,,
432,617004,4830799,,
433,620748.188,4831423.5,,
434,617493.188,4828488.5,,
435,620520.25,4828375,,
441,615019.438,4838808,,
442,619757.75,4839479,,
443,617862.125,4836773.5,,
444,614329.062,4834499.5,,
445,617290.5,4833754,,